Anime,Recommendation,Agree Votes
10,172,9
10,4576,7
10,261,6
10,966,6
10,249,5
10,5888,5
10,1369,4
10,22,3
10,287,3
10,1669,3
10,6705,3
10,5819,3
10,401,2
10,1390,2
10,805,1
10,164,1
10,1525,1
10,1885,1
10,736,1
10,863,1
10,1107,1
10,99,1
10,2967,1
10,402,1
10,6774,1
10,6871,1
10,6705,3
10,5819,3
10,401,2
10,1390,2
10,805,1
10,164,1
10,1525,1
10,1885,1
10,736,1
10,863,1
100,29,49
100,44,21
100,3477,21
100,1154,16
100,1013,15
100,16,14
100,138,11
100,6,9
100,193,9
100,823,9
100,108,8
100,8969,8
100,1226,7
100,572,7
100,1057,7
100,693,6
100,111,5
100,221,5
100,266,5
100,61,4
100,105,4
100,119,4
100,195,4
100,430,4
100,982,4
100,638,4
100,194,4
100,5594,4
100,1110,3
100,254,3
100,4312,3
100,8608,3
100,2,2
100,12,2
100,121,2
100,166,2
100,411,2
100,763,2
100,782,2
100,1359,2
100,1366,2
100,461,2
100,117,2
100,955,2
100,1061,2
100,1647,2
100,424,2
100,1549,2
100,439,2
100,819,2
100,1078,2
100,1173,2
100,3423,2
100,158,2
100,3977,2
100,437,2
100,267,2
100,5323,2
100,6115,2
100,70,1
100,134,1
100,136,1
100,139,1
100,214,1
100,231,1
100,256,1
100,566,1
100,784,1
100,939,1
100,666,1
100,977,1
100,641,1
100,330,1
100,1365,1
100,910,1
100,835,1
100,1068,1
100,146,1
100,890,1
100,1564,1
100,7,1
100,1097,1
100,128,1
100,1517,1
100,1217,1
100,1099,1
100,1074,1
100,1048,1
100,1574,1
100,1030,1
100,92,1
100,836,1
100,1865,1
100,2293,1
100,2246,1
100,976,1
100,1515,1
100,133,1
100,695,1
100,2315,1
100,1000,1
100,699,1
100,2058,1
100,1272,1
100,4573,1
100,667,1
100,1134,1
100,4969,1
100,5331,1
100,1378,1
100,5966,1
100,4209,1
100,2644,1
100,6124,1
100,7545,1
100,8874,1
100,8970,1
100,6889,1
100,6061,1
100,144,1
100,1000,1
100,699,1
100,2058,1
100,1272,1
100,4573,1
100,667,1
100,1134,1
100,4969,1
100,5331,1
100,1378,1
1000,108,2
1000,64,2
1000,623,1
1000,400,1
1000,438,1
1000,50,1
1000,836,1
1000,28,1
1000,252,1
1000,1057,1
1000,1571,1
1000,218,1
1000,2129,1
1000,100,1
1000,2118,1
1000,2382,1
1000,1517,1
1000,108,2
1000,64,2
1000,623,1
1000,400,1
1000,438,1
1000,50,1
1000,836,1
1000,28,1
1000,252,1
1000,1057,1
10000,13584,0
10000,13991,0
10000,14670,0
10000,14543,0
10000,16375,0
10000,15571,0
10000,10790,0
10000,13391,0
10000,12669,0
10000,14544,0
10004,8453,0
10004,13867,0
10004,16743,0
10004,16268,0
10004,9778,0
10004,12238,0
10004,8985,0
10004,14605,0
10004,16814,0
10004,16815,0
10006,4309,0
10006,11945,0
10006,10762,0
10006,12163,0
10006,10881,0
10006,12091,0
10006,10682,0
10006,2017,0
10006,11902,0
10006,12137,0
10009,10770,0
10009,13493,0
10009,10835,0
10009,11701,0
10009,16626,0
10009,14252,0
10009,11448,0
10009,10999,0
10009,13647,0
10009,11000,0
1001,647,8
1001,1013,7
1001,82,6
1001,1082,5
1001,1125,5
1001,780,4
1001,1078,3
1001,4231,3
1001,4471,3
1001,5016,3
1001,6794,3
1001,2284,2
1001,15788,2
1001,153,1
1001,55,1
1001,159,1
1001,261,1
1001,1477,1
1001,6,1
1001,1005,1
1001,1870,1
1001,332,1
1001,74,1
1001,22,1
1001,824,1
1001,966,1
1001,1113,1
1001,2758,1
1001,852,1
1001,2355,1
1001,2963,1
1001,2960,1
1001,172,1
1001,9241,1
1001,3372,1
1001,1870,1
1001,332,1
1001,74,1
1001,22,1
1001,824,1
1001,966,1
1001,1113,1
1001,2758,1
1001,852,1
1001,2355,1
10010,16137,0
10010,11252,0
10010,10105,0
